category,subcategory,count
Gear,health-medicine,16
Gear,politics-news,13
Gear,global-elections,12
Gear,energy,9
Gear,digital-culture,8
Gear,disinformation,6
Gear,movies,5
Gear,psychology-neuroscience,5
Gear,security-advice,4
Gear,social-media,4
Gear,computers-software,3
Gear,policy,3
Gear,tech-culture,3
Gear,privacy,2
Gear,space,2
Gear,blockchain-cryptocurrency,1
Gear,books,1
Gear,cyberattacks-hacks,1
Gear News and Events,unknown,5
Gear News and Events,policy,1
GeekDad Community,unknown,5
GeekDad Guest Writer,unknown,11
GeekDad Rewind,unknown,82
GeekMom Blog,unknown,83
Gina Clifford,unknown,11
Grace Dobush,unknown,1
Greg Miller,unknown,1
Greig Chisholm,unknown,1
Guest,unknown,5
Guest Blogger,unknown,1
Gwen Pearson,unknown,21
Health,health-medicine,9
Helene McLaughlin,unknown,41
Hillary Rosner,unknown,1
How To and Advice,unknown,2
Howard Rheingold,unknown,1
Hugh Hart,unknown,6
Ian Gordon,unknown,1
Ideas,unknown,1218
Ideas,politics-news,125
Ideas,environment-climate-change,54
Ideas,artificial-intelligence,48
Ideas,disinformation,33
Ideas,policy,23
Ideas,environment,22
Ideas,digital-culture,13
Ideas,global-elections,13
Ideas,video-games,11
Ideas,health-medicine,10
Ideas,energy,4
Ideas,transportation,3
Ideas,books,2
Ideas,computers-software,2
Ideas,privacy,2
Ideas,social-media,2
Ideas,movies,1
Ideas,space,1
Ideas,tech-culture,1
Igor Faletski,unknown,1
Jacob Russell,unknown,3
Jacqueline Detwiler,unknown,1
Jakob Schiller,unknown,1
James Cameron,unknown,2
James Floyd Kelly,unknown,18
James Lee,unknown,1
James Livingston,unknown,1
Jason B. Jones,unknown,63
Jason CranfordTeague,unknown,75
Jason Fagone,unknown,1
Jason Kehe,unknown,1
Jason Kottke,unknown,1
Jason Paur,unknown,2
Jason Silverman,unknown,8
Jason Tanz,unknown,5
Jay Caspian Kang,unknown,1
Jeff Howe,unknown,1
Jeffrey M. O'Brien,unknown,2
Jeffrey Marlow,unknown,1
Jenn Tylbon,unknown,20
Jennifer Alsever,unknown,1
Jennifer Chaussee,unknown,1
Jennifer D.,unknown,46
Jennifer Hansen,unknown,10
Jenny Everett,unknown,1
Jenny Williams,unknown,217
Jessamyn,unknown,12
Jesse Lichenstein,unknown,1
Jesse Lichtenstein,unknown,1
Jim MacQuarrie,unknown,28
Jim Merithew,unknown,2
Jim Nash,unknown,1
Jim Popkin,unknown,1
Joanna Pearlstein,unknown,1
Joe Brown,unknown,1
Joe MacInnis,unknown,1
Joel Johnson,unknown,1
Joel Khalili,unknown,1
Joel KhaliliLily Hay Newman,unknown,1
Joel Meares,unknown,8
Joel Warner,unknown,2
John Anealio,unknown,1
John Baichtal,unknown,16
John Bohannon,unknown,2
John Booth,unknown,89
John Brownlee,unknown,243
John C Abell,unknown,5
John Geirland,unknown,1
John Kovalic,unknown,17
John Madden,unknown,8
John Pavlus,unknown,1
John Scott Lewinski,unknown,1
John Williamson,unknown,2
"Jon Brodkin, Ars Technica",unknown,2
Jon Eilenberg,unknown,1
Jon Lackman,unknown,1
Jon Mooallem,unknown,1
Jon Snyder,unknown,1
Jonah Lehrer,unknown,5
Jonathan H. Liu,unknown,338
Jonathan Knudsen,unknown,3
Jonathan Liu,unknown,1
Jonathon Keats,unknown,20
Jordan Crucchiola,unknown,1
Josh McHugh,unknown,2
Joshua Davis,unknown,6
Josie Colt,unknown,1
Judd Schorr,unknown,4
Judy Berna,unknown,77
Jules,unknown,32
Julia Greenberg,unknown,2
Julia SabinMike Sylvia,unknown,1
Julian Smith,unknown,1
Julie Rehmeyer,unknown,5
Justin McLachlan,unknown,1
Justin Monroe,unknown,1
Kalynn Brower,unknown,6
Kari Byron,unknown,1
Kat Mahoney,unknown,1
Kate Miller,unknown,15
Katharine Gammon,unknown,6
Kathy Ceceri,unknown,120
Katie M Palmer,unknown,1
Kay Moore,unknown,6
Kay T. Holt,unknown,4
Keith Axline,unknown,1
Keith Barry,unknown,3
Kelly Knox,unknown,57
Kelsey Hazlewood,unknown,1
Ken Denmead,unknown,45
Kevin Kelly,unknown,5
Kevin Makice,unknown,38
Kevin Pereira,unknown,1
Kevin Poulsen,unknown,1
Kim Zetter,unknown,3
Kris Bordessa,unknown,51
Kristen Philipkoski,unknown,2
Kristen Rutherford,unknown,14
Kristina Bjoran,unknown,3
Kyle Vanhemert,unknown,2
Laura Grace Weldon,unknown,85
Laura Mallonee,unknown,2
Lawrence Wilkinson,unknown,1
Leander Kahney,unknown,7
Lev Grossman,unknown,1
Lewis Wallace,unknown,2
Lisa Grossman,unknown,1
Lisa Katayama,unknown,52
Liz Stinson,unknown,1
